SiteName,County,AQI,Status,Latitude,Longitude,Distance_to_Taipei_Main_km,Distance_Calculation_Method,PublishTime,PM2.5,PM10,O3
中山,臺北市,79,普通,25.064,121.525,1.9677351000103014,geodesic,2026-03-03 15:14,34,48,56
大安,臺北市,98,普通,25.026,121.543,3.5660199383394717,geodesic,2026-03-03 15:14,44,69,62
永和,新北市,89,普通,25.0108,121.513,4.118446958701073,geodesic,2026-03-03 15:14,36,52,49
三重,新北市,64,普通,25.078,121.489,4.378702523766061,geodesic,2026-03-03 15:14,24,36,33
士林,臺北市,73,普通,25.0877,121.524,4.475950444182211,geodesic,2026-03-03 15:14,31,45,52
信義,臺北市,87,普通,25.033,121.565,5.113932432185207,geodesic,2026-03-03 15:14,38,60,43
台北,臺北市,63,普通,25.032,121.5654,5.188515019448628,geodesic,2026-03-03 15:14,30,46,30
松山,臺北市,41,良好,25.05,121.577,6.0595084816544755,geodesic,2026-03-03 15:14,18,30,20
蘆洲,新北市,70,普通,25.084,121.466,6.523686988481103,geodesic,2026-03-03 15:14,24,39,34
板橋,新北市,76,普通,25.015,121.463,6.550035109689792,geodesic,2026-03-03 15:14,27,43,42
新莊,新北市,59,普通,25.038,121.45,6.847900273009752,geodesic,2026-03-03 15:14,23,35,27
中和,新北市,83,普通,24.9994,121.464,7.57365355510357,geodesic,2026-03-03 15:14,37,57,56
新店,新北市,88,普通,24.9739,121.5378,8.451089861854445,geodesic,2026-03-03 15:14,40,58,51
土城,新北市,77,普通,24.979,121.447,10.392650182817897,geodesic,2026-03-03 15:14,28,39,48
汐止,新北市,52,普通,25.063,121.632,11.725570458656039,geodesic,2026-03-03 15:14,24,37,38
樹林,新北市,57,普通,24.983,121.416,12.46822870984299,geodesic,2026-03-03 15:14,20,27,39
淡水,新北市,52,普通,25.164,121.44,15.033509030313212,geodesic,2026-03-03 15:14,18,29,29
七堵,基隆市,105,對敏感族群不健康,25.095,121.708,19.967029480577796,geodesic,2026-03-03 15:14,44,69,59
桃園,桃園市,56,普通,24.9936,121.301,22.613159208794382,geodesic,2026-03-03 15:14,22,36,30
暖暖,基隆市,50,良好,25.1,121.736,22.838945495448044,geodesic,2026-03-03 15:14,22,31,33
金山,新北市,36,良好,25.2236,121.636,22.874470532263352,geodesic,2026-03-03 15:14,16,24,26
蘆竹,桃園市,46,良好,25.045,121.29,22.909154033136886,geodesic,2026-03-03 15:14,15,19,30
基隆,基隆市,61,普通,25.1276,121.7392,24.09524738148769,geodesic,2026-03-03 15:14,27,41,38
瑞芳,新北市,82,普通,25.108,121.811,30.4009882193839,geodesic,2026-03-03 15:14,32,47,40
中壢,桃園市,71,普通,24.9539,121.2248,31.277619927891596,geodesic,2026-03-03 15:14,30,43,38
大園,桃園市,56,普通,25.064,121.197,32.33921870201049,geodesic,2026-03-03 15:14,25,37,38
龍潭,桃園市,47,良好,24.863,121.21,37.151381200410746,geodesic,2026-03-03 15:14,14,18,20
宜蘭,宜蘭縣,45,良好,24.77,121.7326,37.70067174170203,geodesic,2026-03-03 15:14,23,31,32
平鎮,桃園市,60,普通,24.893,121.18,38.10465263783098,geodesic,2026-03-03 15:14,21,33,46
楊梅,桃園市,61,普通,24.908,121.14,41.09449549171104,geodesic,2026-03-03 15:14,19,25,26
觀音,桃園市,118,對敏感族群不健康,25.032,121.078,44.33730596142385,geodesic,2026-03-03 15:14,51,75,70
羅東,宜蘭縣,73,普通,24.677,121.766,48.16956945334236,geodesic,2026-03-03 15:14,30,48,35
湖口,新竹縣,60,普通,24.904,121.054,49.388271162215105,geodesic,2026-03-03 15:14,27,43,38
新埔,新竹縣,40,良好,24.824,121.071,51.41803434301136,geodesic,2026-03-03 15:14,15,21,20
冬山,宜蘭縣,65,普通,24.636,121.79,53.312373324664854,geodesic,2026-03-03 15:14,27,40,35
竹東,新竹縣,64,普通,24.734,121.086,55.719506312087724,geodesic,2026-03-03 15:14,27,43,37
蘇澳,宜蘭縣,67,普通,24.603,121.849,59.61573287859014,geodesic,2026-03-03 15:14,29,40,47
新竹,新竹市,64,普通,24.8138,120.9675,61.25733862235727,geodesic,2026-03-03 15:14,25,36,46
頭份,苗栗縣,49,良好,24.688,120.918,72.47580197462062,geodesic,2026-03-03 15:14,24,36,21
竹南,新竹縣,78,普通,24.684,120.878,76.1190942821037,geodesic,2026-03-03 15:14,32,45,47
竹南,苗栗縣,98,普通,24.684,120.878,76.1190942821037,geodesic,2026-03-03 15:14,36,56,51
苗栗,苗栗縣,39,良好,24.566,120.822,88.23833574249954,geodesic,2026-03-03 15:14,14,23,20
大湖,苗栗縣,41,良好,24.408,120.864,96.8866670170531,geodesic,2026-03-03 15:14,20,33,32
西屯,臺中市,37,良好,24.162,121.646,98.98330570486372,geodesic,2026-03-03 15:14,17,27,25
三義,苗栗縣,31,良好,24.332,120.747,111.17023960684803,geodesic,2026-03-03 15:14,16,26,20
后里,臺中市,56,普通,24.308,120.718,115.12895644515758,geodesic,2026-03-03 15:14,27,38,40
