location,latitude,longitude,station_id,observation_time,county,town,timestamp,Weather,VisibilityDescription,SunshineDuration,Now_Precipitation,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex,Max10MinAverage_WindSpeed,GustInfo_PeakGustSpeed
基隆,25.133314,121.740475,466940,2026-02-24T16:10:00+08:00,基隆市,仁愛區,2026-02-24 16:27:26.158089,陰有靄,7-10,0.7,0.0,40.0,1.6,20.9,86,1010.4,1,2.7,4.1
淡水,25.164889,121.448906,466900,2026-02-24T16:10:00+08:00,新北市,淡水區,2026-02-24 16:27:26.158112,陰有雨,7-10,0.3,-990.0,300.0,0.5,20.8,92,1011.8,1,0.8,1.8
新北,24.959207,121.525196,466881,2026-02-24T16:10:00+08:00,新北市,新店區,2026-02-24 16:27:26.158118,陰,21-30,0.4,-990.0,270.0,1.3,24.0,68,1010.8,0,1.9,3.4
陽明山,25.162078,121.544547,466930,2026-02-24T16:10:00+08:00,臺北市,北投區,2026-02-24 16:27:26.158123,陰,-99,0.4,0.0,0.0,0.0,18.4,92,945.3,1,1.7,2.8
鞍部,25.182586,121.529731,466910,2026-02-24T16:10:00+08:00,臺北市,北投區,2026-02-24 16:27:26.158127,陰有雨,16-20,0.3,-990.0,190.0,0.6,16.9,96,-99,1,2.2,2.9
新竹,24.828575,121.01445,467571,2026-02-24T16:10:00+08:00,新竹縣,竹北市,2026-02-24 16:27:26.158131,陰,>30,0.8,-990.0,0.0,0.2,23.2,73,1010.4,0,1.6,2.2
臺中,24.145736,120.684075,467490,2026-02-24T16:10:00+08:00,臺中市,北區,2026-02-24 16:27:26.158135,陰,16-20,1.9,-990.0,350.0,1.4,23.2,72,1003.8,0,2.4,5.3
梧棲,24.256003,120.523381,C0FA30,2026-02-24T16:10:00+08:00,臺中市,梧棲區,2026-02-24 16:27:26.158139,陰,-99,-99,0.0,360.0,1.8,21.6,89,-99,-99,4.0,6.4
澎湖,23.565503,119.563094,467350,2026-02-24T16:10:00+08:00,澎湖縣,馬公市,2026-02-24 16:27:26.158143,陰,21-30,2.5,0.0,20.0,2.6,22.9,82,1012.2,1,3.1,5.4
日月潭,23.881325,120.90805,467650,2026-02-24T16:10:00+08:00,南投縣,魚池鄉,2026-02-24 16:27:26.158147,陰有靄,7-10,3.3,0.0,270.0,0.8,19.5,83,-99,1,1.6,3.3
阿里山,23.508208,120.813242,467530,2026-02-24T16:10:00+08:00,嘉義縣,阿里山鄉,2026-02-24 16:27:26.158151,多雲,>30,2.6,0.0,320.0,0.7,11.4,89,-99,2,1.5,3.9
玉山,23.48718,120.95943,467550,2026-02-24T16:10:00+08:00,南投縣,信義鄉,2026-02-24 16:27:26.158155,多雲,-99,1.8,0.0,210.0,1.3,6.5,61,-99,2,3.5,10.4
嘉義,23.495925,120.432906,467480,2026-02-24T16:10:00+08:00,嘉義市,西區,2026-02-24 16:27:26.158163,陰,16-20,2.0,0.0,350.0,3.1,24.0,78,1010.0,1,-99,-99
臺南,22.99328,120.20492,467410,2026-02-24T16:10:00+08:00,臺南市,中西區,2026-02-24 16:27:26.158166,陰,11-15,1.7,0.0,330.0,3.3,25.8,68,1010.1,1,3.2,5.5
高雄,22.730432,120.312516,467441,2026-02-24T16:10:00+08:00,高雄市,楠梓區,2026-02-24 16:27:26.158171,陰,>30,2.3,0.0,290.0,2.3,26.6,71,1011.3,2,3.3,5.5
恆春,22.003897,120.746339,467590,2026-02-24T16:10:00+08:00,屏東縣,恆春鎮,2026-02-24 16:27:26.158174,晴,>30,2.7,-990.0,100.0,3.4,27.0,67,1009.5,3,4.1,9.1
宜蘭,24.763975,121.756528,467080,2026-02-24T16:10:00+08:00,宜蘭縣,宜蘭市,2026-02-24 16:27:26.158178,陰,>30,2.7,0.0,50.0,3.2,24.4,76,1012.8,1,3.9,6.2
花蓮,23.975128,121.613275,466990,2026-02-24T16:10:00+08:00,花蓮縣,花蓮市,2026-02-24 16:27:26.158182,陰,21-30,4.7,0.0,170.0,3.8,25.1,77,1010.8,2,4.9,6.9
成功,23.097486,121.373428,467610,2026-02-24T16:10:00+08:00,臺東縣,成功鎮,2026-02-24 16:27:26.158186,多雲,21-30,2.3,1.0,140.0,1.7,25.5,73,1008.2,2,2.0,3.8
臺東,22.752211,121.154586,467660,2026-02-24T16:10:00+08:00,臺東縣,臺東市,2026-02-24 16:27:26.158190,晴,>30,3.3,1.5,160.0,1.3,26.0,72,1011.5,3,1.6,3.1
