location,latitude,longitude,station_id,observation_time,county,town,timestamp,Weather,VisibilityDescription,SunshineDuration,Now_Precipitation,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex,Max10MinAverage_WindSpeed,GustInfo_PeakGustSpeed
基隆,25.133314,121.740475,466940,2026-02-24T16:20:00+08:00,基隆市,仁愛區,2026-02-24 16:30:30.485529,陰有靄,7-10,0.7,0.0,30.0,2.0,20.5,88,1010.5,1,2.7,4.1
淡水,25.164889,121.448906,466900,2026-02-24T16:20:00+08:00,新北市,淡水區,2026-02-24 16:30:30.485553,陰有靄,7-10,0.3,-990.0,310.0,1.2,20.7,93,1011.8,1,0.8,1.8
新北,24.959207,121.525196,466881,2026-02-24T16:20:00+08:00,新北市,新店區,2026-02-24 16:30:30.485558,陰,21-30,0.4,-990.0,260.0,1.5,23.9,69,1010.8,0,1.9,3.4
陽明山,25.162078,121.544547,466930,2026-02-24T16:20:00+08:00,臺北市,北投區,2026-02-24 16:30:30.485563,陰,-99,0.4,0.0,0.0,0.0,18.4,93,945.2,1,1.7,2.8
鞍部,25.182586,121.529731,466910,2026-02-24T16:20:00+08:00,臺北市,北投區,2026-02-24 16:30:30.485567,陰,21-30,0.3,-990.0,200.0,1.2,16.7,97,-99,1,2.2,2.9
新竹,24.828575,121.01445,467571,2026-02-24T16:20:00+08:00,新竹縣,竹北市,2026-02-24 16:30:30.485572,陰有雨,16-20,0.8,-990.0,360.0,0.6,23.1,74,1010.4,0,1.6,2.2
臺中,24.145736,120.684075,467490,2026-02-24T16:20:00+08:00,臺中市,北區,2026-02-24 16:30:30.485576,陰,16-20,1.9,-990.0,340.0,2.2,23.0,73,1003.8,0,2.4,5.3
梧棲,24.256003,120.523381,C0FA30,2026-02-24T16:20:00+08:00,臺中市,梧棲區,2026-02-24 16:30:30.485579,陰,-99,-99,0.0,10.0,2.0,21.8,87,-99,-99,4.0,6.4
澎湖,23.565503,119.563094,467350,2026-02-24T16:20:00+08:00,澎湖縣,馬公市,2026-02-24 16:30:30.485583,陰,21-30,2.5,0.0,20.0,2.5,22.9,82,1012.2,1,3.1,5.4
日月潭,23.881325,120.90805,467650,2026-02-24T16:20:00+08:00,南投縣,魚池鄉,2026-02-24 16:30:30.485588,陰有靄,7-10,3.3,0.0,250.0,0.6,19.2,85,-99,1,1.6,3.3
阿里山,23.508208,120.813242,467530,2026-02-24T16:20:00+08:00,嘉義縣,阿里山鄉,2026-02-24 16:30:30.485592,多雲,>30,2.6,0.0,290.0,0.5,11.2,91,-99,2,1.5,3.9
玉山,23.48718,120.95943,467550,2026-02-24T16:20:00+08:00,南投縣,信義鄉,2026-02-24 16:30:30.485596,多雲,-99,1.8,0.0,210.0,1.4,4.8,67,-99,2,3.5,10.4
嘉義,23.495925,120.432906,467480,2026-02-24T16:20:00+08:00,嘉義市,西區,2026-02-24 16:30:30.485601,陰,16-20,2.0,0.0,10.0,4.1,23.9,77,1010.0,1,-99,-99
臺南,22.99328,120.20492,467410,2026-02-24T16:20:00+08:00,臺南市,中西區,2026-02-24 16:30:30.485605,陰,11-15,1.7,0.0,330.0,2.7,25.8,68,1010.1,1,3.2,5.5
高雄,22.730432,120.312516,467441,2026-02-24T16:20:00+08:00,高雄市,楠梓區,2026-02-24 16:30:30.485609,陰,21-30,2.3,0.0,290.0,2.3,26.3,71,1011.4,2,3.3,5.5
恆春,22.003897,120.746339,467590,2026-02-24T16:20:00+08:00,屏東縣,恆春鎮,2026-02-24 16:30:30.485613,晴,>30,2.8,-990.0,90.0,3.1,26.7,69,1009.4,3,4.1,9.1
宜蘭,24.763975,121.756528,467080,2026-02-24T16:20:00+08:00,宜蘭縣,宜蘭市,2026-02-24 16:30:30.485617,陰,>30,2.7,0.0,60.0,3.0,24.3,77,1012.7,1,3.9,6.2
花蓮,23.975128,121.613275,466990,2026-02-24T16:20:00+08:00,花蓮縣,花蓮市,2026-02-24 16:30:30.485621,陰,21-30,4.8,0.0,170.0,3.5,25.3,77,1010.8,1,4.9,6.9
成功,23.097486,121.373428,467610,2026-02-24T16:20:00+08:00,臺東縣,成功鎮,2026-02-24 16:30:30.485624,多雲,21-30,2.5,1.0,150.0,1.3,25.6,73,1008.3,2,2.0,3.8
臺東,22.752211,121.154586,467660,2026-02-24T16:20:00+08:00,臺東縣,臺東市,2026-02-24 16:30:30.485628,多雲,>30,3.3,1.5,150.0,1.6,25.9,74,1011.5,2,1.6,3.1
大武,22.35572,120.90374,467540,2026-02-24T16:20:00+08:00,臺東縣,大武鄉,2026-02-24 16:30:30.485632,多雲,-99,4.3,0.0,110.0,0.9,26.0,73,1011.6,2,1.7,2.8
蘭嶼,22.0369,121.55843,467620,2026-02-24T16:20:00+08:00,臺東縣,蘭嶼鄉,2026-02-24 16:30:30.485637,晴,>30,4.1,-990.0,190.0,1.6,24.3,79,976.5,2,4.4,7.0
彭佳嶼,25.627975,122.079744,466950,2026-02-24T16:20:00+08:00,基隆市,中正區,2026-02-24 16:30:30.485640,陰有靄,7-10,0.2,-990.0,320.0,3.7,19.3,95,1002.3,1,3.9,5.0
東吉島,23.25727,119.66762,467300,2026-02-24T16:20:00+08:00,澎湖縣,望安鄉,2026-02-24 16:30:30.485644,陰,16-20,2.9,0.0,30.0,5.4,23.1,83,1008.3,2,5.7,7.0
南沙島,10.370203,114.364286,469020,2026-02-24T16:20:00+08:00,高雄市,旗津區,2026-02-24 16:30:30.485648,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
東沙島,20.700856,116.73,468100,2026-02-24T16:20:00+08:00,高雄市,旗津區,2026-02-24 16:30:30.485652,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
永康,23.038386,120.2367,467420,2026-02-24T16:20:00+08:00,臺南市,永康區,2026-02-24 16:30:30.485656,陰,-99,2.3,0.0,330.0,3.4,25.8,67,1011.6,1,3.6,6.4
金門(東),24.448431,118.451786,C2W030,2026-02-24T16:20:00+08:00,金門縣,金湖鎮,2026-02-24 16:30:30.485659,陰,-99,-99,17.0,140.0,1.1,16.2,98,-99,-99,1.8,3.4
臺北,25.037658,121.514853,466920,2026-02-24T16:20:00+08:00,臺北市,中正區,2026-02-24 16:30:30.485663,陰,>30,0.2,-990.0,340.0,1.5,24.6,64,1010.1,0,2.9,4.6
彰師大,24.081389,120.556667,A0G720,2026-02-24T16:20:00+08:00,彰化縣,彰化市,2026-02-24 16:30:30.485667,陰,-99,-99,0.0,300.0,1.5,22.7,81,-99,-99,2.5,5.9
合歡山,24.143186,121.284231,A0Z080,2026-02-24T16:20:00+08:00,花蓮縣,秀林鄉,2026-02-24 16:30:30.485670,陰,-99,-99,0.0,90.0,5.3,5.0,79,-99,-99,6.3,12.9
吉貝,23.740011,119.604189,A0W080,2026-02-24T16:20:00+08:00,澎湖縣,白沙鄉,2026-02-24 16:30:30.485674,陰,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
金門,24.407306,118.289281,467110,2026-02-24T16:20:00+08:00,金門縣,金城鎮,2026-02-24 16:30:30.485678,陰有靄,2.2,0.0,12.0,140.0,0.7,16.8,98,1010.9,1,1.3,2.3
馬祖,26.169467,119.923158,467990,2026-02-24T16:20:00+08:00,連江縣,南竿鄉,2026-02-24 16:30:30.485681,陰有靄,3-6,0.1,1.5,280.0,1.6,15.4,97,1003.7,1,2.6,3.7
麥寮,23.798783,120.217717,A0K420,2026-02-24T16:20:00+08:00,雲林縣,麥寮鄉,2026-02-24 16:30:30.485685,陰,-99,-99,0.0,30.0,5.0,22.0,84,-99,-99,6.0,9.5
新屋,25.006725,121.047492,467050,2026-02-24T16:20:00+08:00,桃園市,新屋區,2026-02-24 16:30:30.485689,陰,11-15,0.1,-990.0,320.0,2.6,21.2,90,1011.7,0,1.5,2.5
古坑(花卉中心),23.63353,120.55239,A2K570,2026-02-24T16:20:00+08:00,雲林縣,古坑鄉,2026-02-24 16:30:30.485692,陰,-99,-99,0.0,360.0,2.7,23.9,73,-99,-99,4.0,6.0
大安森林,25.02955,121.53628,CAAH60,2026-02-24T16:20:00+08:00,臺北市,大安區,2026-02-24 16:30:30.485696,陰,-99,-99,0.0,0.0,0.0,23.5,67,-99,-99,0.3,1.8
消防署訓練中心,23.82137,120.72293,CAHA00,2026-02-24T16:20:00+08:00,南投縣,竹山鎮,2026-02-24 16:30:30.485700,陰,-99,-99,0.0,30.0,0.9,23.2,73,-99,-99,2.4,5.7
田中,23.873803,120.581286,467270,2026-02-24T16:20:00+08:00,彰化縣,田中鎮,2026-02-24 16:30:30.485703,陰,>30,1.2,-990.0,360.0,2.0,23.5,73,1008.4,1,3.9,6.5
拉拉山,24.699317,121.427133,CAC040,2026-02-24T16:20:00+08:00,桃園市,復興區,2026-02-24 16:30:30.485707,陰,-99,-99,0.0,210.0,0.6,13.0,93,-99,-99,1.1,2.2
東引,26.358836,120.483631,CAW010,2026-02-24T16:20:00+08:00,連江縣,東引鄉,2026-02-24 16:30:30.485711,陰有靄,7-10,-99,1.0,190.0,1.4,14.7,93,-99,-99,1.7,2.7
高雄燈塔,22.614594,120.26468,CAP070,2026-02-24T16:20:00+08:00,高雄市,旗津區,2026-02-24 16:30:30.485715,陰,-99,-99,0.0,190.0,1.3,25.8,77,-99,-99,1.2,2.7
武陵,24.352825,121.308286,A0F010,2026-02-24T16:20:00+08:00,臺中市,和平區,2026-02-24 16:30:30.485718,陰,-99,-99,0.0,200.0,1.6,15.9,69,-99,-99,2.7,6.9
後龍,24.648563,120.831834,467280,2026-02-24T16:20:00+08:00,苗栗縣,造橋鄉,2026-02-24 16:30:30.485722,陰,11-15,0.3,-990.0,360.0,0.3,21.3,92,1009.8,0,1.7,2.7
古坑,23.633639,120.551889,467290,2026-02-24T16:20:00+08:00,雲林縣,古坑鄉,2026-02-24 16:30:30.485726,陰,-99,1.3,0.0,20.0,3.1,23.8,72,1002.7,1,4.6,6.8
中央大學,24.967652,121.185165,C2C410,2026-02-24T16:20:00+08:00,桃園市,中壢區,2026-02-24 16:30:30.485730,陰,-99,-99,0.0,290.0,0.5,22.6,77,-99,-99,1.0,1.7
文化大學,25.13605,121.53987,A0A460,2026-02-24T16:20:00+08:00,臺北市,士林區,2026-02-24 16:30:30.485734,陰,-99,-99,0.0,230.0,0.8,20.3,77,-99,-99,1.3,2.4
臺灣大學,25.014278,121.539416,A0A010,2026-02-24T16:20:00+08:00,臺北市,大安區,2026-02-24 16:30:30.485737,陰,-99,-99,0.0,40.0,0.6,24.1,64,-99,-99,-99,-99
班鳩分場,22.829528,121.077694,72S200,2026-02-24T16:20:00+08:00,臺東縣,卑南鄉,2026-02-24 16:30:30.485741,多雲,-99,-99,0.5,100.0,2.6,23.8,74,-99,-99,3.8,6.9
賓朗果園,22.813889,121.071278,72S590,2026-02-24T16:20:00+08:00,臺東縣,卑南鄉,2026-02-24 16:30:30.485744,多雲,-99,-99,0.0,20.0,0.5,23.5,-99,-99,-99,1.0,2.7
臺東茶改,22.907694,121.130139,82S580,2026-02-24T16:20:00+08:00,臺東縣,鹿野鄉,2026-02-24 16:30:30.485748,多雲,-99,-99,0.0,-99,-99,24.6,72,-99,-99,-99,-99
臺大溪頭,23.670306,120.798194,U2H480,2026-02-24T16:20:00+08:00,南投縣,鹿谷鄉,2026-02-24 16:30:30.485753,陰,-99,-99,0.0,0.0,0.0,15.6,98,-99,-99,1.5,3.2
臺中農改,24.003028,120.534389,72G600,2026-02-24T16:20:00+08:00,彰化縣,大村鄉,2026-02-24 16:30:30.485758,陰,-99,-99,0.0,360.0,3.4,23.0,74,-99,-99,4.2,6.1
雲林分場,23.634556,120.477333,72K220,2026-02-24T16:20:00+08:00,雲林縣,斗南鎮,2026-02-24 16:30:30.485761,陰,-99,-99,0.0,20.0,2.7,24.6,72,-99,-99,3.0,5.9
臺南農改,23.0605,120.342194,72N100,2026-02-24T16:20:00+08:00,臺南市,新化區,2026-02-24 16:30:30.485765,多雲,-99,-99,0.0,-99,-99,26.2,68,-99,-99,-99,-99
旗南農改,22.857861,120.516667,72V140,2026-02-24T16:20:00+08:00,高雄市,旗山區,2026-02-24 16:30:30.485768,陰,-99,-99,0.0,300.0,3.5,26.2,64,-99,-99,4.8,6.7
高雄農改,22.709333,120.525889,72Q010,2026-02-24T16:20:00+08:00,屏東縣,長治鄉,2026-02-24 16:30:30.485773,陰,-99,-99,0.0,300.0,1.9,27.7,62,-99,-99,2.0,4.6
新竹畜試,24.527806,120.770972,B2E890,2026-02-24T16:20:00+08:00,苗栗縣,西湖鄉,2026-02-24 16:30:30.485776,陰,-99,-99,0.0,0.0,0.0,21.2,86,-99,-99,1.1,1.9
桃園農改,24.950944,121.030583,72C440,2026-02-24T16:20:00+08:00,桃園市,新屋區,2026-02-24 16:30:30.485780,陰,-99,-99,0.0,310.0,1.5,22.0,86,-99,-99,0.4,1.3
五峰站,24.612194,121.157167,72D080,2026-02-24T16:20:00+08:00,新竹縣,五峰鄉,2026-02-24 16:30:30.485784,陰,-99,-99,0.0,0.0,0.0,16.1,99,-99,-99,0.3,1.6
茶改場,24.908472,121.185333,82C160,2026-02-24T16:20:00+08:00,桃園市,楊梅區,2026-02-24 16:30:30.485787,陰,-99,-99,0.0,240.0,0.5,21.4,78,-99,-99,1.1,2.2
農工中心,24.985917,121.239833,A2C560,2026-02-24T16:20:00+08:00,桃園市,中壢區,2026-02-24 16:30:30.485791,陰,-99,-99,0.0,300.0,0.6,22.6,74,-99,-99,1.3,2.7
文山茶改,24.955778,121.631222,82A750,2026-02-24T16:20:00+08:00,新北市,石碇區,2026-02-24 16:30:30.485794,陰,-99,-99,0.0,0.0,0.0,21.0,82,-99,-99,1.0,1.9
蘭陽分場,24.686306,121.716583,72U480,2026-02-24T16:20:00+08:00,宜蘭縣,三星鄉,2026-02-24 16:30:30.485798,陰,-99,-99,0.0,360.0,0.9,24.7,71,-99,-99,2.6,3.7
苗栗農改,24.495722,120.829111,K2E360,2026-02-24T16:20:00+08:00,苗栗縣,公館鄉,2026-02-24 16:30:30.485803,陰,-99,-99,0.0,10.0,1.3,21.6,79,-99,-99,2.5,4.1
大湖分場,24.422861,120.871833,K2E710,2026-02-24T16:20:00+08:00,苗栗縣,大湖鄉,2026-02-24 16:30:30.485806,陰,-99,-99,0.0,20.0,1.2,21.3,76,-99,-99,2.2,3.9
種苗繁殖,24.225972,120.800917,K2F750,2026-02-24T16:20:00+08:00,臺中市,新社區,2026-02-24 16:30:30.485810,陰,-99,-99,0.0,10.0,0.9,20.4,80,-99,-99,2.3,3.6
凍頂茶改,23.762528,120.7405,82H840,2026-02-24T16:20:00+08:00,南投縣,鹿谷鄉,2026-02-24 16:30:30.485814,陰,-99,-99,0.0,20.0,1.9,21.0,76,-99,-99,2.8,4.3
魚池茶改,23.875611,120.913583,82H320,2026-02-24T16:20:00+08:00,南投縣,魚池鄉,2026-02-24 16:30:30.485817,陰,-99,-99,0.0,210.0,1.0,19.6,79,-99,-99,1.6,4.3
